                 BMT  |                root  |Barrel Micromegas Vertex Tracker  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  |aaaaff3   |                Tube  |                       75*mm 240.000*mm 330*mm 0*deg 360*deg  |               myAir  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
BMT_KaptonStrips_Z_Layer2_Segment03  |                 BMT  |KaptonStrips Z, Layer 2,  Segment 03  |                     0*mm 0*mm 84.0090866504623*mm  |                      0*deg 0*deg 90*deg  | fff600   |                Tube  |108.163584*mm 108.238584*mm 44.7003013497124*mm 6.55187849061636*deg 106.896243018767*deg  |            myKapton  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_ResistStrips_Z_Layer2_Segment01  |                 BMT  |ResistStrips Z, Layer 2,  Segment 01  |                     0*mm 0*mm 84.0090866504623*mm  |                    0*deg 0*deg -150*deg  | 000000   |                Tube  |108.238584*mm 108.258584*mm 44.7003013497124*mm 6.55187849061636*deg 106.896243018767*deg  |  mybmtz4ResistPaste  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_ResistStrips_Z_Layer2_Segment02  |                 BMT  |ResistStrips Z, Layer 2,  Segment 02  |                     0*mm 0*mm 84.0090866504623*mm  |                     0*deg 0*deg -30*deg  | 000000   |                Tube  |108.238584*mm 108.258584*mm 44.7003013497124*mm 6.55187849061636*deg 106.896243018767*deg  |  mybmtz4ResistPaste  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_ResistStrips_Z_Layer2_Segment03  |                 BMT  |ResistStrips Z, Layer 2,  Segment 03  |                     0*mm 0*mm 84.0090866504623*mm  |                      0*deg 0*deg 90*deg  | 000000   |                Tube  |108.238584*mm 108.258584*mm 44.7003013497124*mm 6.55187849061636*deg 106.896243018767*deg  |  mybmtz4ResistPaste  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_Gas1_Z_Layer2_Segment01  |                 BMT  |  Gas1 Z, Layer 2,  Segment 01  |                     0*mm 0*mm 84.0090866504623*mm  |                    0*deg 0*deg -150*deg  |e868504   |                Tube  |108.258584*mm 108.386584*mm 44.7003013497124*mm 6.55187849061636*deg 106.896243018767*deg  |          mybmtMMGas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_Gas1_Z_Layer2_Segment02  |                 BMT  |  Gas1 Z, Layer 2,  Segment 02  |                     0*mm 0*mm 84.0090866504623*mm  |                     0*deg 0*deg -30*deg  |e868504   |                Tube  |108.258584*mm 108.386584*mm 44.7003013497124*mm 6.55187849061636*deg 106.896243018767*deg  |          mybmtMMGas  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_Gas1_Z_Layer2_Segment03  |                 BMT  |  Gas1 Z, Layer 2,  Segment 03  |                     0*mm 0*mm 84.0090866504623*mm  |                      0*deg 0*deg 90*deg  |e868504   |                Tube  |108.258584*mm 108.386584*mm 44.7003013497124*mm 6.55187849061636*deg 106.896243018767*deg  |          mybmtMMGas  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_Mesh_Z_Layer2_Segment01  |                 BMT  |  Mesh Z, Layer 2,  Segment 01  |                     0*mm 0*mm 84.0090866504623*mm  |                    0*deg 0*deg -150*deg  | 252020   |                Tube  |108.386584*mm 108.404584*mm 44.7003013497124*mm 6.55187849061636*deg 106.896243018767*deg  |         mybmtMMMesh  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_Mesh_Z_Layer2_Segment02  |                 BMT  |  Mesh Z, Layer 2,  Segment 02  |                     0*mm 0*mm 84.0090866504623*mm  |                     0*deg 0*deg -30*deg  | 252020   |                Tube  |108.386584*mm 108.404584*mm 44.7003013497124*mm 6.55187849061636*deg 106.896243018767*deg  |         mybmtMMMesh  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_Mesh_Z_Layer2_Segment03  |                 BMT  |  Mesh Z, Layer 2,  Segment 03  |                     0*mm 0*mm 84.0090866504623*mm  |                      0*deg 0*deg 90*deg  | 252020   |                Tube  |108.386584*mm 108.404584*mm 44.7003013497124*mm 6.55187849061636*deg 106.896243018767*deg  |         mybmtMMMesh  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_Gas2_Z_Layer2_Segment01  |                 BMT  | Gas2 Z, Layer 2,   Segment 01  |                     0*mm 0*mm 84.0090866504623*mm  |                    0*deg 0*deg -150*deg  |e868504   |                Tube  |108.404584*mm 111.404584*mm 44.7003013497124*mm 6.55187849061636*deg 106.896243018767*deg  |          mybmtMMGas  |                  no  |     1   |     1   |     1   |   1   |   1   |                 bmt  |                 bmt  |superlayer manual 2 type manual 2 segment manual 1 strip manual 1 
BMT_Gas2_Z_Layer2_Segment02  |                 BMT  | Gas2 Z, Layer 2,   Segment 02  |                     0*mm 0*mm 84.0090866504623*mm  |                     0*deg 0*deg -30*deg  |e868504   |                Tube  |108.404584*mm 111.404584*mm 44.7003013497124*mm 6.55187849061636*deg 106.896243018767*deg  |          mybmtMMGas  |                  no  |     2   |     1   |     1   |   1   |   1   |                 bmt  |                 bmt  |superlayer manual 2 type manual 2 segment manual 2 strip manual 1 
BMT_Gas2_Z_Layer2_Segment03  |                 BMT  | Gas2 Z, Layer 2,   Segment 03  |                     0*mm 0*mm 84.0090866504623*mm  |                      0*deg 0*deg 90*deg  |e868504   |                Tube  |108.404584*mm 111.404584*mm 44.7003013497124*mm 6.55187849061636*deg 106.896243018767*deg  |          mybmtMMGas  |                  no  |     3   |     1   |     1   |   1   |   1   |                 bmt  |                 bmt  |superlayer manual 2 type manual 2 segment manual 3 strip manual 1 
BMT_DriftCuElectrode_Z_Layer2_Segment01  |                 BMT  |DriftCuElectrode Z, Layer 2,  Segment 01  |                     0*mm 0*mm 84.0090866504623*mm  |                    0*deg 0*deg -150*deg  | 666600   |                Tube  |111.404584*mm 111.404704*mm 44.7003013497124*mm 6.55187849061636*deg 106.896243018767*deg  |            myCopper  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftCuElectrode_Z_Layer2_Segment02  |                 BMT  |DriftCuElectrode Z, Layer 2,  Segment 02  |                     0*mm 0*mm 84.0090866504623*mm  |                     0*deg 0*deg -30*deg  | 666600   |                Tube  |111.404584*mm 111.404704*mm 44.7003013497124*mm 6.55187849061636*deg 106.896243018767*deg  |            myCopper  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftCuElectrode_Z_Layer2_Segment03  |                 BMT  |DriftCuElectrode Z, Layer 2,  Segment 03  |                     0*mm 0*mm 84.0090866504623*mm  |                      0*deg 0*deg 90*deg  | 666600   |                Tube  |111.404584*mm 111.404704*mm 44.7003013497124*mm 6.55187849061636*deg 106.896243018767*deg  |            myCopper  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftKapton_Z_Layer2_Segment01  |                 BMT  |DriftKapton Z, Layer 2,  Segment 01  |                     0*mm 0*mm 84.0090866504623*mm  |                    0*deg 0*deg -150*deg  | fff600   |                Tube  |111.404704*mm 111.654704*mm 44.7003013497124*mm 1.54290916242861*deg 116.914181675143*deg  |            myKapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftKapton_Z_Layer2_Segment02  |                 BMT  |DriftKapton Z, Layer 2,  Segment 02  |                     0*mm 0*mm 84.0090866504623*mm  |                     0*deg 0*deg -30*deg  | fff600   |                Tube  |111.404704*mm 111.654704*mm 44.7003013497124*mm 1.54290916242861*deg 116.914181675143*deg  |            myKapton  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_DriftKapton_Z_Layer2_Segment03  |                 BMT  |DriftKapton Z, Layer 2,  Segment 03  |                     0*mm 0*mm 84.0090866504623*mm  |                      0*deg 0*deg 90*deg  | fff600   |                Tube  |111.404704*mm 111.654704*mm 44.7003013497124*mm 1.54290916242861*deg 116.914181675143*deg  |            myKapton  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
