              target  |                root  |              Target Container  |                                             0 0 0  |                                   0 0 0  | 22ff22   |            Polycone  |0.0*deg 360*deg 4*counts 0.0*mm 0.0*mm 0.0*mm 0.0*mm 56*mm 56*mm 26*mm 26*mm -116*mm 260*mm 290*mm 391*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
      ddvcs_ecal3_21  |          ddvcs_ecal  |        ft crystal (h:3, v:21)  |-292.566457124327*mm -13.5664571243268*mm 638.656946163235*mm  |-1.21691611885589*deg 24.6126016920609*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 21 
      ddvcs_ecal3_22  |          ddvcs_ecal  |        ft crystal (h:3, v:22)  |-292.566457124327*mm 1.9335428756732*mm 638.787104419858*mm  |0.173429705566313*deg 24.6081810779382*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 22 
      ddvcs_ecal3_23  |          ddvcs_ecal  |        ft crystal (h:3, v:23)  |-292.566457124327*mm 17.4335428756732*mm 638.570485824388*mm  |1.56385360188569*deg 24.6155390005963*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 23 
      ddvcs_ecal3_24  |          ddvcs_ecal  |        ft crystal (h:3, v:24)  |-292.566457124327*mm 32.9335428756732*mm 638.008901554553*mm  |2.95497338381002*deg 24.6346336609822*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 24 
      ddvcs_ecal3_25  |          ddvcs_ecal  |        ft crystal (h:3, v:25)  |-292.566457124327*mm 48.4335428756732*mm 637.106988902428*mm  |4.347368744109*deg 24.6653581565115*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 25 
      ddvcs_ecal3_26  |          ddvcs_ecal  |        ft crystal (h:3, v:26)  |-292.566457124327*mm 63.9335428756732*mm 635.872023541779*mm  |5.74154946438758*deg 24.7075451178682*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 26 
      ddvcs_ecal3_27  |          ddvcs_ecal  |        ft crystal (h:3, v:27)  |-292.566457124327*mm 79.4335428756732*mm 634.313636209077*mm  |7.13792728088518*deg 24.7609737037425*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 27 
      ddvcs_ecal3_28  |          ddvcs_ecal  |        ft crystal (h:3, v:28)  |-292.566457124327*mm 94.9335428756732*mm 632.443458516528*mm  |8.53679263696639*deg 24.8253783396158*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 28 
      ddvcs_ecal3_29  |          ddvcs_ecal  |        ft crystal (h:3, v:29)  |-292.566457124327*mm 110.433542875673*mm 630.274726326788*mm  |9.93829709550528*deg 24.9004584950017*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 29 
      ddvcs_ecal3_30  |          ddvcs_ecal  |        ft crystal (h:3, v:30)  |-292.566457124327*mm 125.933542875673*mm 627.821869032991*mm  |11.3424417137578*deg 24.9858887963971*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 30 
      ddvcs_ecal3_31  |          ddvcs_ecal  |        ft crystal (h:3, v:31)  |-292.566457124327*mm 141.433542875673*mm 625.100109836855*mm  |12.74907126255*deg 25.0813288547491*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 31 
